-32,1,-94,1,-37,1,1,-5,1,-142
-32,1,-94,1,-37,1,1,-5,1,-142
-32,1,-94,1,-37,1,1,-5,1,-142
-32,1,-94,1,-38,2,-5,1,-142
-33,1,-93,1,-38,2,-5,1,-142
-33,1,-93,1,-38,1,1,-4,1,-142
-33,1,-94,1,-37,1,1,-5,1,-141
-33,1,-94,1,-37,1,1,-5,1,-141
-33,1,-94,1,-37,1,1,-5,1,-141
-33,1,-94,1,-37,1,1,-5,1,-141
-34,1,-93,1,-38,2,-5,1,-141
-34,1,-93,1,-38,2,-5,1,-141
-34,1,-93,1,-38,1,1,-5,1,-140
-34,1,-94,1,-37,1,1,-5,1,-140
-34,1,-94,1,-37,1,1,-5,1,-140
-34,1,-94,1,-37,1,1,-5,1,-140
-34,1,-94,1,-38,2,-5,1,-140
-35,1,-93,1,-38,2,-5,1,-140
-35,1,-93,1,-38,2,-5,1,-140
-35,1,-93,1,-38,1,1,-5,1,-139
-35,1,-94,1,-37,1,1,-5,1,-139
-35,1,-94,1,-37,1,1,-5,1,-139
-35,1,-94,1,-37,1,1,-5,1,-139
-35,1,-94,1,-38,2,-5,1,-139
-36,1,-93,1,-38,2,-5,1,-139
-36,1,-93,1,-38,1,1,-4,1,-139
-36,1,-94,1,-37,1,1,-5,1,-138
-36,1,-94,1,-37,1,1,-5,1,-138
-36,1,-94,1,-37,1,1,-5,1,-138
-36,1,-94,1,-37,1,1,-5,1,-138
-37,1,-93,1,-38,2,-5,1,-138
-37,1,-93,1,-38,2,-5,1,-138
-37,1,-93,1,-38,1,1,-5,1,-137
-37,1,-94,1,-37,1,1,-5,1,-137
-37,1,-94,1,-37,1,1,-5,1,-137
-37,1,-94,1,-37,1,1,-5,1,-137
-37,1,-94,1,-38,2,-5,1,-137
